"filename", "language", "JSON", "Log", "JavaScript", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"c:\Dev\javascript\express\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Dev\javascript\express\index.js", "JavaScript", 0, 0, 15, 0, 0, 0, 4, 6, 25
"c:\Dev\javascript\express\log\test.log", "Log", 0, 92, 0, 0, 0, 0, 0, 1, 93
"c:\Dev\javascript\express\model\User.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Dev\javascript\express\package-lock.json", "JSON", 3220, 0, 0, 0, 0, 0, 0, 1, 3221
"c:\Dev\javascript\express\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Dev\javascript\express\public\collision\index.html", "HTML", 0, 0, 0, 0, 0, 76, 0, 1, 77
"c:\Dev\javascript\express\public\collision\script.js", "JavaScript", 0, 0, 256, 0, 0, 0, 44, 41, 341
"c:\Dev\javascript\express\public\collision\style.css", "CSS", 0, 0, 0, 0, 91, 0, 4, 16, 111
"c:\Dev\javascript\express\public\tetris1\index.html", "HTML", 0, 0, 0, 0, 0, 23, 0, 1, 24
"c:\Dev\javascript\express\public\tetris1\script.js", "JavaScript", 0, 0, 743, 0, 0, 0, 6, 45, 794
"c:\Dev\javascript\express\public\tetris1\style.css", "CSS", 0, 0, 0, 0, 48, 0, 0, 8, 56
"c:\Dev\javascript\express\routes\api\clips\ClipRouter.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 12, 26
"c:\Dev\javascript\express\routes\api\games\GameRouter.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 12, 26
"c:\Dev\javascript\express\routes\api\users\UserRouter.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 9, 61
"c:\Dev\javascript\express\routes\web\home\HomeRouter.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Dev\javascript\express\util.js", "JavaScript", 0, 0, 32, 0, 0, 0, 3, 6, 41
"Total", "-", 3241, 92, 1145, 3, 139, 99, 61, 164, 4944